Frequency (Hz)	Level (dB)
849.609375	-38.448177
852.539062	-38.774853
855.468750	-39.566334
858.398438	-38.380085
861.328125	-39.929794
864.257812	-40.640236
867.187500	-39.863605
870.117188	-39.777248
873.046875	-40.707260
875.976562	-40.266254
878.906250	-39.850697
881.835938	-40.783268
884.765625	-40.334671
887.695312	-40.617268
890.625000	-40.621361
893.554688	-41.889202
896.484375	-41.969517
899.414062	-41.689110
902.343750	-41.558090
905.273438	-41.706158
908.203125	-41.839054
911.132812	-42.017067
914.062500	-42.290913
916.992188	-42.522331
919.921875	-42.628006
922.851562	-41.995735
925.781250	-42.124710
928.710938	-42.100170
931.640625	-42.061451
934.570312	-42.384838
937.500000	-42.784695
940.429688	-43.068333
943.359375	-42.195961
946.289062	-42.842552
949.218750	-42.974262
952.148438	-42.553368
955.078125	-42.956432
958.007812	-42.705242
960.937500	-43.714787
963.867188	-43.466068
966.796875	-43.433075
969.726562	-43.269035
972.656250	-43.146229
975.585938	-43.162453
978.515625	-43.091106
981.445312	-43.588757
984.375000	-43.820202
987.304688	-43.258797
990.234375	-43.648972
993.164062	-43.224693
996.093750	-43.286484
999.023438	-43.075375
1001.953125	-43.361076
1004.882812	-42.823086
1007.812500	-43.095627
1010.742188	-43.149849
1013.671875	-42.739922
1016.601562	-43.070587
1019.531250	-43.243320
1022.460938	-43.184181
1025.390625	-42.371162
1028.320312	-42.507973
1031.250000	-42.852589
1034.179688	-42.714676
1037.109375	-42.222698
1040.039062	-43.006306
1042.968750	-43.222176
1045.898438	-41.959656
1048.828125	-41.888245
1051.757812	-41.642353
1054.687500	-42.020275
1057.617188	-41.716488
1060.546875	-41.656895
1063.476562	-41.807858
1066.406250	-41.593460
1069.335938	-40.702309
1072.265625	-40.814728
1075.195312	-40.958378
1078.125000	-41.193535
1081.054688	-40.377728
1083.984375	-40.468998
1086.914062	-40.410534
1089.843750	-40.414528
1092.773438	-39.488823
1095.703125	-39.713398
1098.632812	-39.479229
1101.562500	-39.564102
1104.492188	-38.942078
