Frequency (Hz)	Level (dB)
849.609375	-45.646355
852.539062	-45.788227
855.468750	-46.856445
858.398438	-46.611103
861.328125	-46.878689
864.257812	-46.764885
867.187500	-47.601772
870.117188	-46.585804
873.046875	-46.975941
875.976562	-47.285740
878.906250	-47.767067
881.835938	-47.513168
884.765625	-47.538120
887.695312	-47.749283
890.625000	-48.599121
893.554688	-49.110081
896.484375	-49.582512
899.414062	-49.576523
902.343750	-49.864056
905.273438	-49.663837
908.203125	-50.057556
911.132812	-50.479130
914.062500	-50.491520
916.992188	-50.148682
919.921875	-49.722382
922.851562	-50.356770
925.781250	-50.728691
928.710938	-50.312317
931.640625	-50.914162
934.570312	-50.816544
937.500000	-51.604515
940.429688	-51.125969
943.359375	-51.441345
946.289062	-51.734760
949.218750	-51.706028
952.148438	-51.819935
955.078125	-51.993519
958.007812	-51.660995
960.937500	-51.756947
963.867188	-52.100868
966.796875	-51.639675
969.726562	-51.928654
972.656250	-51.632385
975.585938	-51.951031
978.515625	-51.701519
981.445312	-52.782948
984.375000	-52.212704
987.304688	-52.591396
990.234375	-52.525230
993.164062	-52.123352
996.093750	-52.423767
999.023438	-52.497692
1001.953125	-51.913940
1004.882812	-52.191193
1007.812500	-52.585281
1010.742188	-52.149990
1013.671875	-51.329376
1016.601562	-52.405289
1019.531250	-52.196423
1022.460938	-51.707390
1025.390625	-52.828281
1028.320312	-52.072407
1031.250000	-51.144753
1034.179688	-51.850098
1037.109375	-51.567909
1040.039062	-51.286537
1042.968750	-50.306778
1045.898438	-51.360546
1048.828125	-51.166809
1051.757812	-50.540535
1054.687500	-50.909824
1057.617188	-50.640182
1060.546875	-50.519970
1063.476562	-49.772156
1066.406250	-49.476410
1069.335938	-50.305183
1072.265625	-49.451660
1075.195312	-48.680405
1078.125000	-48.890614
1081.054688	-48.895489
1083.984375	-48.431194
1086.914062	-48.241367
1089.843750	-48.619717
1092.773438	-47.910034
1095.703125	-47.298790
1098.632812	-47.812092
1101.562500	-47.691113
1104.492188	-46.800545
1107.421875	-46.964550
1110.351562	-46.438423
1113.281250	-46.764423
1116.210938	-46.544632
1119.140625	-46.738804
1122.070312	-46.704460
1125.000000	-45.744064
1127.929688	-45.874622
1130.859375	-45.512234
1133.789062	-45.821095
1136.718750	-45.386040
1139.648438	-45.518631
1142.578125	-45.885674
1145.507812	-45.194256
1148.437500	-45.802170
1151.367188	-45.859169
1154.296875	-46.100357
1157.226562	-45.773216
1160.156250	-45.892361
1163.085938	-45.958931
1166.015625	-46.702404
1168.945312	-46.420826
1171.875000	-46.980495
1174.804688	-47.092995
1177.734375	-46.818844
1180.664062	-48.027534
1183.593750	-47.667458
1186.523438	-47.648735
1189.453125	-47.179611
1192.382812	-48.139400
1195.312500	-48.138443
1198.242188	-47.683464
1201.171875	-48.462830
1204.101562	-49.097618
1207.031250	-49.284809
1209.960938	-49.228714
1212.890625	-48.806637
1215.820312	-49.479675
1218.750000	-49.837074
1221.679688	-49.449196
1224.609375	-50.085949
1227.539062	-50.613300
1230.468750	-51.354992
1233.398438	-50.034992
1236.328125	-51.046150
1239.257812	-51.479229
1242.187500	-51.765621
1245.117188	-50.695896
1248.046875	-51.326355
1250.976562	-51.656944
1253.906250	-52.223591
1256.835938	-51.963749
1259.765625	-52.604931
1262.695312	-51.979958
1265.625000	-52.080654
1268.554688	-52.612125
1271.484375	-52.108902
1274.414062	-52.422337
1277.343750	-52.901951
1280.273438	-52.914013
1283.203125	-53.066151
1286.132812	-53.569336
1289.062500	-53.940403
1291.992188	-52.404781
1294.921875	-52.712986
1297.851562	-52.672707
1300.781250	-53.313320
1303.710938	-52.703751
1306.640625	-53.402809
1309.570312	-53.320873
1312.500000	-53.065067
1315.429688	-52.355022
1318.359375	-52.093594
1321.289062	-52.619389
1324.218750	-52.298843
1327.148438	-52.763023
1330.078125	-52.701904
1333.007812	-52.526817
1335.937500	-52.324528
1338.867188	-52.749714
1341.796875	-52.133873
1344.726562	-52.766403
1347.656250	-52.615200
1350.585938	-51.467999
1353.515625	-52.332710
1356.445312	-51.858173
1359.375000	-52.082302
1362.304688	-51.990894
1365.234375	-51.992237
1368.164062	-50.405674
1371.093750	-51.526478
1374.023438	-51.339535
1376.953125	-50.570717
1379.882812	-50.172138
1382.812500	-50.642941
1385.742188	-50.301266
1388.671875	-49.758862
1391.601562	-49.303719
1394.531250	-49.509571
1397.460938	-49.978146
1400.390625	-48.463737
1403.320312	-49.309788
1406.250000	-48.956245
1409.179688	-48.618855
1412.109375	-47.969463
1415.039062	-48.799530
1417.968750	-48.321774
1420.898438	-48.317242
1423.828125	-48.027195
1426.757812	-48.745823
1429.687500	-48.442440
1432.617188	-47.543915
1435.546875	-47.757011
1438.476562	-48.135109
1441.406250	-47.638084
1444.335938	-47.851387
1447.265625	-48.410648
1450.195312	-48.069103
1453.125000	-48.190105
1456.054688	-48.421486
1458.984375	-48.828255
1461.914062	-49.454845
1464.843750	-48.996700
1467.773438	-50.349880
1470.703125	-49.961563
1473.632812	-50.496792
1476.562500	-50.986919
1479.492188	-50.647659
1482.421875	-51.036385
1485.351562	-51.339962
1488.281250	-51.693439
1491.210938	-52.646629
1494.140625	-52.161259
1497.070312	-52.696255
1500.000000	-53.163097
1502.929688	-53.135376
1505.859375	-53.150845
1508.789062	-54.765839
1511.718750	-55.276024
1514.648438	-55.151474
1517.578125	-55.084755
1520.507812	-54.959171
1523.437500	-55.460403
