Frequency (Hz)	Level (dB)
141.601562	-40.426144
142.089844	-41.229946
142.578125	-44.385750
143.066406	-42.400135
143.554688	-43.754677
144.042969	-46.247955
144.531250	-44.153030
145.019531	-45.390907
145.507812	-42.472221
145.996094	-45.702751
146.484375	-43.555729
146.972656	-44.062794
147.460938	-44.799229
147.949219	-45.698971
148.437500	-44.667625
148.925781	-44.148582
149.414062	-43.049053
149.902344	-42.815971
150.390625	-44.278919
150.878906	-45.046452
151.367188	-42.772972
151.855469	-43.361179
152.343750	-44.149441
152.832031	-45.746639
153.320312	-42.820393
153.808594	-44.656197
154.296875	-46.428158
154.785156	-43.465527
155.273438	-43.411049
155.761719	-43.795982
156.250000	-45.426659
156.738281	-43.504700
157.226562	-44.841885
157.714844	-44.003860
158.203125	-44.274574
158.691406	-43.297237
159.179688	-42.360920
159.667969	-41.857414
160.156250	-44.312222
160.644531	-42.688015
161.132812	-44.011433
161.621094	-45.771900
162.109375	-43.604450
162.597656	-44.066799
163.085938	-43.424740
163.574219	-44.829411
164.062500	-43.993347
164.550781	-45.513954
165.039062	-45.480103
165.527344	-45.461807
166.015625	-45.955227
166.503906	-43.557777
166.992188	-45.501766
167.480469	-41.784550
167.968750	-43.492798
168.457031	-45.204292
168.945312	-44.444004
169.433594	-43.747974
169.921875	-45.968933
170.410156	-43.974037
170.898438	-41.811356
171.386719	-44.970470
171.875000	-44.040791
172.363281	-44.343227
172.851562	-45.440735
173.339844	-42.730022
173.828125	-44.901291
174.316406	-44.752522
174.804688	-44.716011
175.292969	-43.642658
175.781250	-41.850018
176.269531	-45.069874
176.757812	-46.098118
177.246094	-44.248650
177.734375	-44.561138
178.222656	-47.676231
178.710938	-44.895336
179.199219	-44.861107
179.687500	-43.104111
180.175781	-45.141800
180.664062	-45.567829
181.152344	-46.085804
181.640625	-42.651775
182.128906	-43.635403
182.617188	-43.848457
183.105469	-44.341911
183.593750	-41.823765
184.082031	-43.556553
184.570312	-43.770866
185.058594	-46.441822
185.546875	-44.270390
186.035156	-44.401764
186.523438	-43.347649
187.011719	-43.077927
187.500000	-43.367207
187.988281	-44.118835
188.476562	-44.489906
188.964844	-48.438084
189.453125	-46.720280
189.941406	-45.141823
190.429688	-44.345764
190.917969	-44.499371
191.406250	-43.824818
191.894531	-43.678696
192.382812	-44.156448
192.871094	-44.289368
193.359375	-45.453972
193.847656	-45.202641
194.335938	-42.605488
194.824219	-44.465660
195.312500	-44.247570
195.800781	-44.937901
196.289062	-43.215134
196.777344	-44.792061
197.265625	-43.044975
197.753906	-46.602028
198.242188	-44.552555
198.730469	-44.740715
199.218750	-44.603188
199.707031	-43.117706
200.195312	-43.722172
200.683594	-45.771088
201.171875	-43.307693
201.660156	-45.098991
202.148438	-45.561611
202.636719	-45.185326
203.125000	-44.076653
203.613281	-44.651089
