Frequency (Hz)	Level (dB)
849.609375	-47.489616
852.539062	-47.764744
855.468750	-47.582523
858.398438	-47.655830
861.328125	-47.916935
864.257812	-47.720196
867.187500	-48.335812
870.117188	-47.983719
873.046875	-48.154430
875.976562	-48.341381
878.906250	-48.428608
881.835938	-48.013756
884.765625	-48.385967
887.695312	-48.389347
890.625000	-48.243763
893.554688	-48.154572
896.484375	-48.754265
899.414062	-48.505386
902.343750	-47.867374
905.273438	-48.571472
908.203125	-48.974445
911.132812	-48.476017
914.062500	-48.953186
916.992188	-48.400555
919.921875	-48.349319
922.851562	-48.494133
925.781250	-48.567291
928.710938	-49.097397
931.640625	-48.358700
934.570312	-48.769821
937.500000	-48.346195
940.429688	-48.098576
943.359375	-48.721481
946.289062	-48.206173
949.218750	-48.313934
952.148438	-48.087349
955.078125	-47.697979
958.007812	-47.771606
960.937500	-47.307690
963.867188	-48.380276
966.796875	-48.028984
969.726562	-47.427269
972.656250	-47.950024
975.585938	-46.871227
978.515625	-46.699795
981.445312	-47.226620
984.375000	-46.771164
987.304688	-46.592892
990.234375	-46.581066
993.164062	-46.681309
996.093750	-45.885372
999.023438	-45.739544
1001.953125	-45.903275
1004.882812	-46.213966
1007.812500	-45.349586
1010.742188	-45.507351
1013.671875	-45.139599
1016.601562	-45.376652
1019.531250	-44.796352
1022.460938	-44.724930
1025.390625	-45.699390
1028.320312	-44.894905
1031.250000	-44.955635
1034.179688	-44.947723
1037.109375	-44.635307
1040.039062	-44.893204
1042.968750	-44.914356
1045.898438	-45.381432
1048.828125	-45.710339
1051.757812	-45.479927
1054.687500	-45.857876
1057.617188	-46.435204
1060.546875	-46.010223
1063.476562	-45.953339
1066.406250	-45.892277
1069.335938	-46.634895
1072.265625	-46.845421
1075.195312	-47.233147
1078.125000	-47.491409
1081.054688	-47.336285
1083.984375	-47.822250
1086.914062	-46.797222
1089.843750	-48.309807
1092.773438	-48.733757
1095.703125	-48.163349
1098.632812	-48.948471
1101.562500	-48.825298
1104.492188	-48.911022
1107.421875	-48.437641
1110.351562	-49.091972
1113.281250	-50.191624
1116.210938	-49.750622
1119.140625	-49.851696
1122.070312	-49.490265
1125.000000	-49.471001
1127.929688	-50.288994
1130.859375	-49.806297
1133.789062	-49.501461
1136.718750	-50.353725
1139.648438	-49.936691
1142.578125	-49.463066
1145.507812	-50.128242
1148.437500	-50.252991
1151.367188	-50.156643
1154.296875	-50.113941
1157.226562	-49.592808
1160.156250	-49.257168
1163.085938	-50.177898
1166.015625	-50.249989
1168.945312	-49.784187
1171.875000	-49.795124
1174.804688	-49.990559
1177.734375	-49.077717
1180.664062	-49.712296
1183.593750	-49.611385
1186.523438	-49.846729
1189.453125	-49.448200
1192.382812	-49.246265
1195.312500	-49.352234
1198.242188	-48.970097
1201.171875	-49.124039
1204.101562	-49.226597
1207.031250	-49.289688
1209.960938	-48.766041
1212.890625	-48.543694
1215.820312	-48.920471
1218.750000	-48.348724
1221.679688	-48.572701
1224.609375	-48.115028
1227.539062	-48.262024
1230.468750	-47.833324
1233.398438	-48.214981
1236.328125	-48.001682
1239.257812	-47.944504
1242.187500	-47.328503
1245.117188	-46.950970
