Frequency (Hz)	Level (dB)
141.601562	-51.264965
142.089844	-50.395802
142.578125	-50.829609
143.066406	-50.985786
143.554688	-50.754707
144.042969	-50.439476
144.531250	-51.727707
145.019531	-51.284748
145.507812	-53.221821
145.996094	-52.225163
146.484375	-51.983002
146.972656	-52.397259
147.460938	-51.178841
147.949219	-51.416050
148.437500	-49.575409
148.925781	-51.095455
149.414062	-50.428692
149.902344	-51.324989
150.390625	-51.226089
150.878906	-50.547089
151.367188	-52.328857
151.855469	-52.688965
152.343750	-50.642056
152.832031	-49.039795
153.320312	-50.921944
153.808594	-51.508133
154.296875	-50.260391
154.785156	-50.815254
155.273438	-50.958473
155.761719	-50.670223
156.250000	-49.847622
156.738281	-50.456123
157.226562	-53.461327
157.714844	-51.417744
158.203125	-51.588272
158.691406	-51.161327
159.179688	-52.904766
159.667969	-51.954174
160.156250	-51.516472
160.644531	-52.586411
161.132812	-50.874519
161.621094	-50.457947
162.109375	-50.657951
162.597656	-52.336460
163.085938	-51.053894
163.574219	-50.886917
164.062500	-51.508659
164.550781	-49.956825
165.039062	-50.700489
165.527344	-51.169445
166.015625	-51.907364
166.503906	-50.223717
166.992188	-49.135838
167.480469	-49.738064
167.968750	-47.854694
168.457031	-51.174210
168.945312	-50.948238
169.433594	-50.376122
169.921875	-48.447147
170.410156	-49.848587
170.898438	-51.379246
171.386719	-49.451820
171.875000	-50.535400
172.363281	-51.272339
172.851562	-52.798115
173.339844	-52.136162
173.828125	-47.575188
174.316406	-50.799362
174.804688	-50.797539
175.292969	-51.520653
175.781250	-51.349941
176.269531	-51.513214
176.757812	-52.779064
177.246094	-50.149986
177.734375	-50.213486
178.222656	-51.544807
178.710938	-49.298367
179.199219	-48.995060
179.687500	-51.068626
180.175781	-49.361469
180.664062	-51.084110
181.152344	-51.849525
181.640625	-47.805214
182.128906	-50.688049
182.617188	-50.820618
183.105469	-51.725285
183.593750	-48.646503
184.082031	-49.631424
184.570312	-49.007057
185.058594	-50.429638
185.546875	-50.293079
186.035156	-49.554150
186.523438	-50.043404
187.011719	-49.486561
187.500000	-48.854729
187.988281	-48.620113
188.476562	-48.930355
188.964844	-49.947575
189.453125	-50.448963
189.941406	-49.774143
190.429688	-50.363392
190.917969	-50.810684
191.406250	-49.655537
191.894531	-49.037567
192.382812	-50.424435
192.871094	-49.802536
193.359375	-49.865669
193.847656	-49.749031
194.335938	-47.724556
194.824219	-49.426590
195.312500	-49.135818
195.800781	-50.870605
196.289062	-48.246586
196.777344	-47.737896
197.265625	-49.377613
197.753906	-47.074635
198.242188	-47.494339
198.730469	-48.734360
199.218750	-48.809048
199.707031	-49.423111
200.195312	-48.055443
200.683594	-46.950199
201.171875	-48.835831
201.660156	-46.614449
202.148438	-46.909943
202.636719	-47.945511
203.125000	-47.130894
203.613281	-46.119713
204.101562	-48.018475
204.589844	-47.513905
205.078125	-45.698154
205.566406	-47.036022
206.054688	-45.489491
206.542969	-46.005814
207.031250	-46.367092
207.519531	-45.528530
208.007812	-45.370941
208.496094	-44.789150
208.984375	-47.969547
209.472656	-44.643024
