Frequency (Hz)	Level (dB)
849.609375	-57.390995
852.539062	-56.287186
855.468750	-57.835979
858.398438	-58.282482
861.328125	-58.920132
864.257812	-57.887043
867.187500	-58.341042
870.117188	-56.732613
873.046875	-58.713760
875.976562	-59.542473
878.906250	-57.782356
881.835938	-58.175198
884.765625	-57.434303
887.695312	-57.835365
890.625000	-57.033531
893.554688	-57.893566
896.484375	-57.303539
899.414062	-56.710934
902.343750	-56.380268
905.273438	-56.770653
908.203125	-55.841270
911.132812	-55.317520
914.062500	-54.377716
916.992188	-54.473396
919.921875	-53.676231
922.851562	-54.159458
925.781250	-53.776344
928.710938	-53.942272
931.640625	-54.060776
934.570312	-54.917274
937.500000	-54.540363
940.429688	-55.595783
943.359375	-54.440266
946.289062	-55.385422
949.218750	-55.264484
952.148438	-55.928051
955.078125	-55.618149
958.007812	-55.606842
960.937500	-57.033096
963.867188	-56.222172
966.796875	-56.447948
969.726562	-56.933041
972.656250	-55.888725
975.585938	-56.626896
978.515625	-57.151394
981.445312	-57.341698
984.375000	-56.445393
987.304688	-56.714230
990.234375	-56.223610
993.164062	-57.337948
996.093750	-56.354794
999.023438	-55.582558
1001.953125	-55.428856
1004.882812	-54.884323
1007.812500	-55.350376
1010.742188	-54.587444
1013.671875	-54.988544
1016.601562	-53.769932
1019.531250	-53.907787
1022.460938	-54.699963
1025.390625	-54.461246
1028.320312	-53.756077
1031.250000	-54.323307
1034.179688	-53.908630
1037.109375	-53.997025
1040.039062	-54.263645
1042.968750	-53.102486
1045.898438	-53.401112
1048.828125	-52.908989
1051.757812	-53.073677
1054.687500	-53.493771
1057.617188	-53.190773
1060.546875	-52.269871
1063.476562	-52.231117
1066.406250	-51.315090
1069.335938	-52.619438
1072.265625	-53.305470
1075.195312	-53.352036
1078.125000	-53.945042
1081.054688	-53.823437
1083.984375	-54.635708
1086.914062	-55.213692
1089.843750	-56.240067
1092.773438	-56.083668
1095.703125	-56.711582
1098.632812	-56.588898
1101.562500	-56.639278
1104.492188	-57.233295
1107.421875	-57.209904
1110.351562	-57.525372
1113.281250	-57.612286
1116.210938	-57.617489
1119.140625	-56.886837
1122.070312	-56.907440
1125.000000	-56.814266
1127.929688	-57.781143
1130.859375	-57.118618
1133.789062	-58.000874
1136.718750	-56.978767
1139.648438	-57.647255
1142.578125	-57.572979
1145.507812	-57.941410
1148.437500	-57.230896
1151.367188	-56.350479
1154.296875	-56.350296
1157.226562	-56.599167
1160.156250	-56.316467
1163.085938	-57.198799
1166.015625	-57.314934
1168.945312	-56.830978
1171.875000	-58.081287
1174.804688	-58.672958
1177.734375	-58.553463
1180.664062	-58.399593
1183.593750	-58.042202
1186.523438	-58.162987
1189.453125	-57.828732
1192.382812	-58.336426
1195.312500	-57.768551
1198.242188	-57.782310
1201.171875	-57.670498
1204.101562	-57.267036
1207.031250	-57.676609
1209.960938	-57.684044
1212.890625	-56.819138
1215.820312	-57.025642
1218.750000	-57.380669
1221.679688	-57.714607
1224.609375	-57.130474
1227.539062	-57.008503
1230.468750	-57.386940
1233.398438	-57.141876
1236.328125	-57.007572
1239.257812	-56.668930
1242.187500	-57.315170
1245.117188	-56.929623
1248.046875	-56.352970
1250.976562	-57.077061
1253.906250	-57.544586
1256.835938	-56.634743
1259.765625	-56.408298
1262.695312	-56.546898
1265.625000	-56.658867
1268.554688	-56.615379
1271.484375	-56.616413
1274.414062	-57.055420
1277.343750	-57.228073
1280.273438	-56.322685
1283.203125	-57.237522
1286.132812	-56.697006
1289.062500	-56.571861
1291.992188	-56.652721
1294.921875	-56.275745
1297.851562	-55.943172
1300.781250	-56.006241
1303.710938	-56.285339
1306.640625	-56.677357
1309.570312	-55.287609
1312.500000	-56.476837
1315.429688	-55.551151
1318.359375	-55.551678
1321.289062	-55.360432
1324.218750	-55.413334
1327.148438	-55.261677
1330.078125	-54.525726
1333.007812	-54.386829
1335.937500	-54.196205
1338.867188	-54.305931
1341.796875	-53.839783
1344.726562	-54.512379
1347.656250	-53.686813
1350.585938	-54.669666
1353.515625	-53.074615
1356.445312	-53.600391
1359.375000	-53.829884
1362.304688	-53.815609
1365.234375	-53.664429
1368.164062	-53.382111
1371.093750	-53.540604
1374.023438	-53.625980
1376.953125	-53.427326
1379.882812	-52.808144
