Frequency (Hz)	Level (dB)
849.609375	-47.872078
852.539062	-47.089119
855.468750	-47.630051
858.398438	-47.266808
861.328125	-46.282486
864.257812	-45.997147
867.187500	-46.533821
870.117188	-46.378242
873.046875	-46.743378
875.976562	-46.744755
878.906250	-46.435162
881.835938	-46.326992
884.765625	-46.577110
887.695312	-46.686398
890.625000	-47.519310
893.554688	-47.899487
896.484375	-48.018116
899.414062	-48.888744
902.343750	-48.662991
905.273438	-48.958256
908.203125	-49.446091
911.132812	-49.223866
914.062500	-50.072304
916.992188	-49.561581
919.921875	-49.382034
922.851562	-50.357475
925.781250	-50.137409
928.710938	-51.161808
931.640625	-51.377518
934.570312	-51.773720
937.500000	-50.891003
940.429688	-51.310055
943.359375	-51.958580
946.289062	-52.113396
949.218750	-52.728050
952.148438	-52.481880
955.078125	-52.644539
958.007812	-53.189789
960.937500	-52.709270
963.867188	-52.947891
966.796875	-54.088650
969.726562	-53.391129
972.656250	-52.839172
975.585938	-53.422668
978.515625	-53.495808
981.445312	-53.513676
984.375000	-54.191666
987.304688	-53.777874
990.234375	-53.767677
993.164062	-53.958076
996.093750	-54.271736
999.023438	-54.302601
1001.953125	-54.127991
1004.882812	-54.058418
1007.812500	-54.686497
1010.742188	-53.796391
1013.671875	-53.723518
1016.601562	-53.918198
1019.531250	-53.959206
1022.460938	-54.060352
1025.390625	-53.801804
1028.320312	-53.830120
1031.250000	-53.645882
1034.179688	-53.169464
1037.109375	-53.321339
1040.039062	-52.790379
1042.968750	-53.238995
1045.898438	-52.294434
1048.828125	-51.945015
1051.757812	-52.548615
1054.687500	-51.669983
1057.617188	-51.902107
1060.546875	-52.086090
1063.476562	-51.666721
1066.406250	-51.251205
1069.335938	-49.769588
1072.265625	-50.556271
1075.195312	-51.120380
1078.125000	-49.581173
1081.054688	-50.404942
1083.984375	-50.567543
1086.914062	-49.739304
1089.843750	-48.858398
1092.773438	-48.575047
1095.703125	-48.846542
1098.632812	-49.040977
1101.562500	-48.757221
1104.492188	-49.356232
1107.421875	-49.065647
1110.351562	-49.350113
1113.281250	-48.880642
1116.210938	-49.515789
1119.140625	-49.872452
1122.070312	-50.365498
1125.000000	-50.839725
1127.929688	-51.708221
1130.859375	-51.883831
1133.789062	-51.925278
1136.718750	-52.104488
1139.648438	-52.857834
1142.578125	-52.305801
1145.507812	-53.519794
1148.437500	-53.279709
1151.367188	-53.967247
1154.296875	-53.331562
1157.226562	-54.910004
1160.156250	-54.970413
1163.085938	-54.533817
1166.015625	-55.360844
1168.945312	-56.193924
1171.875000	-55.811512
1174.804688	-56.418083
1177.734375	-56.883713
1180.664062	-57.232838
1183.593750	-56.381672
1186.523438	-56.865036
1189.453125	-57.924965
1192.382812	-57.443611
1195.312500	-57.289783
1198.242188	-57.212364
1201.171875	-58.127262
1204.101562	-58.020897
1207.031250	-57.377640
1209.960938	-59.025421
1212.890625	-58.803108
1215.820312	-58.096519
1218.750000	-57.940567
1221.679688	-57.963524
1224.609375	-57.744583
1227.539062	-58.463879
1230.468750	-58.523846
1233.398438	-58.152863
1236.328125	-57.809513
1239.257812	-57.404877
1242.187500	-57.156837
1245.117188	-57.382591
1248.046875	-56.549175
1250.976562	-56.629391
1253.906250	-56.182884
1256.835938	-56.241940
1259.765625	-55.585472
1262.695312	-55.420696
1265.625000	-54.717159
1268.554688	-54.627613
1271.484375	-54.918373
1274.414062	-53.528103
1277.343750	-53.845310
1280.273438	-53.810020
1283.203125	-53.627220
1286.132812	-52.885380
1289.062500	-52.694225
1291.992188	-52.049374
1294.921875	-51.615368
