Date,Time,Lab_Temp_C,Lab_Pressure_kPa,Lab_Rel_Humidity,Gas_Flow_LPM,FlowSens_Gas_Temp_C,Thermocouple1_Temp_C,Thermocouple2_Temp_C,Purge_Gas
1/31/2025,54:17.4,24.24,97.828,27.494,0,23.705,21.95,21.57,None
1/31/2025,54:17.7,24.24,97.828,27.494,0,23.705,21.95,21.57,None
1/31/2025,54:17.9,24.24,97.83,27.505,0,23.65,21.98,21.57,None
1/31/2025,54:18.2,24.24,97.83,27.505,0,23.65,21.98,21.52,None
1/31/2025,54:18.4,24.24,97.83,27.505,0,23.65,21.98,21.52,None
1/31/2025,54:18.7,24.24,97.831,27.489,0,23.625,21.95,21.52,None
1/31/2025,54:18.9,24.24,97.831,27.489,0,23.625,21.95,21.44,None
1/31/2025,54:19.2,24.24,97.831,27.489,0,23.625,21.95,21.44,None
1/31/2025,54:19.4,24.23,97.831,27.51,0,23.585,21.95,21.44,None
1/31/2025,54:19.7,24.23,97.831,27.51,0,23.585,21.95,21.48,None
1/31/2025,54:19.9,24.23,97.83,27.488,0,23.63,21.95,21.48,None
1/31/2025,54:20.2,24.23,97.83,27.488,0,23.63,22.11,21.48,None
1/31/2025,54:20.4,24.23,97.83,27.488,0,23.63,22.11,21.45,None
1/31/2025,54:20.7,24.23,97.83,27.51,0,23.65,22.11,21.45,None
1/31/2025,54:20.9,24.23,97.83,27.51,0,23.65,21.91,21.45,None
1/31/2025,54:21.2,24.23,97.83,27.51,0,23.65,21.91,21.48,None
1/31/2025,54:21.4,24.23,97.827,27.504,0,23.59,21.91,21.48,None
1/31/2025,54:21.7,24.23,97.827,27.504,0,23.59,21.91,21.44,None
1/31/2025,54:21.9,24.23,97.827,27.504,0,23.59,21.91,21.44,None
1/31/2025,54:22.2,24.22,97.828,27.509,0,23.65,21.91,21.44,None
1/31/2025,54:22.4,24.22,97.828,27.509,0,23.65,21.96,21.44,None
1/31/2025,54:22.7,24.22,97.828,27.509,0,23.65,21.96,21.44,None
1/31/2025,54:23.0,24.22,97.826,27.493,0,23.62,21.87,21.44,None
1/31/2025,54:23.2,24.22,97.826,27.493,0,23.62,21.87,21.52,None
1/31/2025,54:23.4,24.22,97.826,27.493,0,23.62,21.87,21.52,None
1/31/2025,54:23.7,24.22,97.827,27.514,0,23.655,21.94,21.52,None
1/31/2025,54:23.9,24.22,97.827,27.514,0,23.655,21.94,21.46,None
1/31/2025,54:24.2,24.22,97.827,27.514,0,23.655,21.94,21.46,None
1/31/2025,54:24.4,24.22,97.826,27.514,0,23.63,21.95,21.46,None
1/31/2025,54:24.7,24.22,97.826,27.514,0,23.63,21.95,21.44,None
1/31/2025,54:24.9,24.22,97.827,27.515,0,23.595,21.95,21.44,None
1/31/2025,54:25.2,24.22,97.827,27.515,0,23.595,21.95,21.44,None
1/31/2025,54:25.5,24.22,97.827,27.515,0,23.595,21.95,21.39,None
1/31/2025,54:25.7,24.22,97.827,27.509,0,23.71,21.95,21.39,None
1/31/2025,54:26.0,24.22,97.827,27.509,0,23.71,21.98,21.39,None
1/31/2025,54:26.2,24.22,97.827,27.509,0,23.71,21.98,21.55,None
1/31/2025,54:26.5,24.22,97.828,27.525,0,23.61,21.98,21.55,None
1/31/2025,54:26.7,24.22,97.828,27.525,0,23.61,21.98,21.41,None
1/31/2025,54:27.0,24.22,97.828,27.525,0,23.61,21.98,21.41,None
1/31/2025,54:27.2,24.22,97.829,27.52,0,23.6,21.98,21.41,None
1/31/2025,54:27.5,24.22,97.829,27.52,0,23.6,21.89,21.52,None
1/31/2025,54:27.7,24.22,97.829,27.52,0,23.6,21.89,21.52,None
1/31/2025,54:28.0,24.22,97.83,27.504,0,23.595,21.95,21.52,None
1/31/2025,54:28.2,24.22,97.83,27.504,0,23.595,21.95,21.46,None
1/31/2025,54:28.5,24.22,97.83,27.504,0,23.595,21.95,21.46,None
1/31/2025,54:28.8,24.23,97.828,27.499,0,23.63,21.96,21.46,None
1/31/2025,54:29.0,24.23,97.828,27.499,0,23.63,21.96,21.55,None
1/31/2025,54:29.3,24.23,97.828,27.52,0,23.67,21.96,21.55,None
1/31/2025,54:29.5,24.23,97.828,27.52,0,23.67,21.91,21.55,None
1/31/2025,54:29.8,24.23,97.828,27.52,0,23.67,21.91,21.48,None
1/31/2025,54:30.0,24.22,97.825,27.504,0,23.605,21.91,21.48,None
1/31/2025,54:30.3,24.22,97.825,27.504,0,23.605,21.91,21.48,None
1/31/2025,54:30.5,24.22,97.825,27.504,0,23.605,21.91,21.48,None
1/31/2025,54:30.8,24.22,97.827,27.525,0,23.65,21.91,21.48,None
1/31/2025,54:31.0,24.22,97.827,27.525,0,23.65,21.88,21.43,None
1/31/2025,54:31.3,24.22,97.827,27.525,0,23.65,21.88,21.43,None
1/31/2025,54:31.6,24.22,97.827,27.515,0,23.65,21.88,21.43,None
1/31/2025,54:31.8,24.22,97.827,27.515,0,23.65,21.98,21.52,None
1/31/2025,54:32.0,24.22,97.827,27.515,0,23.65,21.98,21.52,None
1/31/2025,54:32.3,24.22,97.828,27.509,0,23.665,21.98,21.52,None
1/31/2025,54:32.5,24.22,97.828,27.509,0,23.665,22,21.43,None
1/31/2025,54:32.8,24.22,97.828,27.509,0,23.665,22,21.43,None
1/31/2025,54:33.0,24.22,97.827,27.509,0,23.69,21.96,21.43,None
1/31/2025,54:33.3,24.22,97.827,27.509,0,23.69,21.96,21.52,None
1/31/2025,54:33.5,24.22,97.827,27.509,0,23.69,21.96,21.52,None
1/31/2025,54:33.8,24.22,97.828,27.504,0,23.69,21.98,21.52,None
